course_anonid,lecturer_anonid,lecture_id,discipline,year,month,day,slot,coder,time,code,duration,lecture_date,session_number,lecturer_and_session,title,simple_title,code_grp,duration_int
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,0,LT,6,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,6,SR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,7,LT,4,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,11,SR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,12,LR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,13,SQ,10,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,23,LR,26,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,49,SR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,50,LR,4,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,54,LT,90,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,144,FB,41,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,INT,41
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,185,LT,514,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,699,LQ,5,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,704,SR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,705,LR,3,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,708,LQ,2,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,710,SR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,711,LR,6,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,717,LQ,3,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,720,SR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,721,LR,2,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,723,LT,23,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,746,SR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,747,LT,17,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,764,SQ,6,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,770,LR,5,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,775,SR,6,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,781,LR,2,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,783,SR,3,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,786,LR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,787,SR,2,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,789,LR,15,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,804,LT,301,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,1105,SQ,3,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,1108,LR,1,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,1109,SQ,2,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,1111,LR,8,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,VIC,0
C2,L2,C2_2018_08_13,VET,2018,08,13,NA,SS,1119,LT,226,2018-08-13,1,L2 S1,C2 2018-08-13 (SS),SS 13/08,NON,0
